word,semantic_change,frequency,polysemy
démontrait,1.0722103280462303,125.5,0.7444392242518808
affaisser,1.0721224656041346,130.0,0.5727020455042753
soupçonnez,1.0720660530087853,161.0,0.5680610551302272
steppes,1.072022223400024,107.0,0.6820207727951622
scélératesse,1.0719876679395948,107.0,0.6764266765825478
chantilly,1.0719836575052664,228.0,0.7202921854350599
foudroyée,1.071968425315093,171.0,0.5999379287558696
regardions,1.0719440109658334,243.0,0.7365010397320022
légué,1.0718554066509984,191.5,0.7035929097871862
risquaient,1.0718545976143954,107.0,0.713888770818617
recouvrir,1.07183340144239,134.0,0.7538128639974768
rhythme,1.0718257301780143,112.0,0.6278435469623742
postés,1.0718175174776186,194.0,0.725253943909111
logé,1.071760249430783,391.1666666666667,0.7110671487498784
lavait,1.0717235070588713,192.5,0.6264993583791583
treizième,1.0716609016941363,141.75,0.5221580615470793
inactif,1.0716185285176882,117.0,0.615321133684138
débité,1.0715758440935228,160.5,0.7084436942010145
inconstance,1.0713438039012426,106.0,0.769741120748394
embarquèrent,1.071289760959789,126.0,0.6246838710794215
ruminait,1.0712546980912132,123.0,0.6844342271452122
grotesques,1.0712423416576857,210.0,0.713138156797471
écaille,1.0712372744489205,149.0,0.6670629832542272
jonas,1.0712099617378132,503.0,0.5504505544886489
casseroles,1.0712095530481514,270.5,0.6725258706272444
wenceslas,1.0708462247774575,456.0,0.2939962453155884
démonstrations,1.0708192151057176,326.0,0.6813755009775485
béat,1.0707558693458303,159.0,0.6986712931681257
déshérité,1.07074775428552,175.0,0.6119185458863958
immortelles,1.0707068749109503,157.5,0.7218194040000001
plantait,1.0706761061208168,133.0,0.7368652650856802
glacis,1.0706567261738618,234.0,0.710499592499112
désespérance,1.070636832276413,183.0,0.6733776771920927
moscou,1.0706021506950882,616.75,0.5787051215194134
bourbons,1.070585755841707,438.25,0.7032377940071486
cérémonial,1.0705629967679522,153.0,0.7415609641380164
aidera,1.0704847000318736,282.4,0.7031959594108983
débarrassée,1.0704651250098438,214.75,0.771188860496058
bellegarde,1.070350715630042,262.0,0.560593668255866
comédienne,1.0703176322633037,685.2,0.6629481419865766
crasseux,1.0703093626031672,153.0,0.6828251819237869
pa,1.070307328159846,309.5,0.5782837949644796
adorablement,1.070285314954896,194.0,0.6444356975146778
détachèrent,1.0702707521771504,118.0,0.7483458876948533
entraînante,1.070221017204041,116.5,0.6852313101878378
cerner,1.0701868973483486,140.0,0.7057917927455419
galopant,1.0701752745882278,182.33333333333334,0.71733397284481
longueurs,1.0701718162685976,109.0,0.7422207427597716
vociféra,1.0701584586005355,144.5,0.6472794343417801
